metric,model,men,women
count,DinoManWoman,1199.0,915.0
count,DinoManWoman2,1110.0,542.0
count,DinoWomanMan,934.0,1263.0
count,DinoWomanMan2,448.0,1199.0
count,GroundTruth,551.0,358.0
count,VQA,885.0,643.0
count,YOLO_50,0.0,0.0
count,YOLO_75,0.0,0.0
count,YOLO_90,0.0,0.0
count,llama-desc,471.0,367.0
f1-score,DinoManWoman,0.6011428571428571,0.5137470542026709
f1-score,DinoWomanMan,0.6572390572390573,0.4355336212214682
f1-score,VQA,0.6740947075208914,0.6053946053946054
f1-score,llama-desc,0.786692759295499,0.6924137931034483
precision,DinoManWoman,0.43869891576313597,0.35737704918032787
precision,DinoWomanMan,0.5224839400428265,0.27949326999208235
precision,VQA,0.5468926553672316,0.4712286158631415
precision,llama-desc,0.8535031847133758,0.6839237057220708
recall,DinoManWoman,0.9546279491833031,0.9134078212290503
recall,DinoWomanMan,0.8856624319419237,0.9860335195530726
recall,VQA,0.8784029038112523,0.8463687150837989
recall,llama-desc,0.7295825771324864,0.7011173184357542
share,DinoManWoman,0.7993333333333333,0.61
share,DinoManWoman2,0.74,0.36133333333333334
share,DinoWomanMan,0.6226666666666667,0.842
share,DinoWomanMan2,0.2986666666666667,0.7993333333333333
share,GroundTruth,0.36733333333333335,0.23866666666666667
share,VQA,0.59,0.42866666666666664
share,YOLO_50,0.0,0.0
share,YOLO_75,0.0,0.0
share,YOLO_90,0.0,0.0
share,llama-desc,0.314,0.24466666666666667
